artist,hrsplayed,ranking,hrsplayedround
Ka,1.229459167,2,1.23
Atlas Sound,1.227302222,2,1.23
Sorry,1.224046944,2,1.22
Gnod,1.216693056,2,1.22
Flume,1.215166667,5,1.22
Suburban Lawns,1.211049167,6,1.21
Soundgarden,1.196440556,8,1.2
Lungfish,1.195193889,6,1.2
Parade Ground,1.189599722,2,1.19
Björk,1.186635833,7,1.19
Don Caballero,1.180614722,7,1.18
$NOT,1.168604722,2,1.17
M.I.A.,1.168401667,5,1.17
BABYTEETH,1.165605556,4,1.17
Shabazz Palaces,1.161821111,6,1.16
Snail Mail,1.161459167,4,1.16
Vundabar,1.160397778,3,1.16
ssshhhiiittt!,1.154291667,2,1.15
Cuco,1.14839,3,1.15
Neon Indian,1.145098889,3,1.15
MGMT,1.138711111,5,1.14
Arianne,1.137692222,2,1.14
Lil Kaine,1.132205,4,1.13
Choker,1.122883333,4,1.12
Alvvays,1.121116111,7,1.12
Blonde Redhead,1.11987,6,1.12
Kai Whiston,1.118567222,4,1.12
John Frusciante,1.117301389,5,1.12
The Paper Chase,1.115239167,4,1.12
Current Joys,1.112038889,3,1.11
Thee Oh Sees,1.106683611,4,1.11
Grumpster,1.105388611,4,1.11
Duster,1.097358889,6,1.1
Castanets,1.097203056,3,1.1
Daft Punk,1.095748889,7,1.1
KIDS SEE GHOSTS,1.094049444,8,1.09
bôa,1.090716944,3,1.09
Soccer Mommy,1.088156389,2,1.09
Filmmaker,1.087130833,2,1.09
sonotanotanpenz,1.085441944,3,1.09
Lil Yachty,1.081738611,3,1.08
RICEWINE,1.070675278,2,1.07
The Smiths,1.069690556,9,1.07
Ichiko Aoba,1.065410278,2,1.07
PJ Harvey,1.063600278,7,1.06
Beak>,1.057029167,2,1.06
Alberto Ruiz Lavadenz Lira Incaica,1.047924444,3,1.05
DrownMili,1.038786389,2,1.04
Whirr,1.03857,4,1.04
The Breeders,1.036318611,5,1.04
Solen,1.035813333,3,1.04
Haley Heynderickx,1.031351111,2,1.03
A$AP Mob,1.031331389,5,1.03
Andrea Franz,1.029847778,3,1.03
This Heat,1.028311389,5,1.03
Joyce Manor,1.017110278,6,1.02
Washed Out,1.016081111,5,1.02
St. Vincent,1.014405,6,1.01
Harrison Lipton,1.006066667,3,1.01
Bowery Electric,1.005965278,4,1.01
Ariel Pink,1.000271667,3,1
Failure,0.998010278,4,1
Light Club,0.997521111,2,1
The Cleaners From Venus,0.994165278,4,0.99
Exploded View,0.993026111,4,0.99
Guapdad 4000,0.988215,4,0.99
Fugazi,0.984768056,6,0.98
This Is Lorelei,0.984401667,4,0.98
Cryogeyser,0.984378889,4,0.98
Michael Fassbender,0.974535,3,0.97
Stereolab,0.968628333,4,0.97
Her's,0.968432778,4,0.97
Denh Izen,0.966310556,3,0.97
Pond,0.9554,4,0.96
Sofie,0.9547,2,0.95
Minutemen,0.952124167,6,0.95
Adrianne Lenker,0.951671389,3,0.95
Jawbreaker,0.945374722,2,0.95
The Smashing Pumpkins,0.944002222,7,0.94
Ryoma Maeda,0.940711667,3,0.94
Muse,0.939535556,6,0.94
Portishead,0.937053611,6,0.94
Crim3s,0.935523889,2,0.94
AlunaGeorge,0.932096389,3,0.93
WHOKILLEDXIX,0.929424722,2,0.93
The Avalanches,0.926788333,6,0.93
Blanck Mass,0.926004444,2,0.93
Lady Gaga,0.925424722,4,0.93
Milo,0.919858889,4,0.92
Solid Space,0.910818611,3,0.91
Michael Gira,0.908323889,2,0.91
The Radio Dept.,0.908162778,2,0.91
SALES,0.904581389,5,0.9
Conociendo Rusia,0.900926944,2,0.9
Jarboe,0.899012222,2,0.9
Chad VanGaalen,0.897986667,2,0.9
Drahla,0.895660833,6,0.9
Tess Parks & Anton Newcombe,0.893863611,2,0.89
Bugpee OOO,0.8938125,2,0.89
The Chameleons,0.889649722,2,0.89
ANGERYMAN,0.888828333,2,0.89
Surfing,0.886775,2,0.89
Buzzcocks,0.8778325,6,0.88
Jullian,0.873401389,3,0.87
Pop Smoke,0.870513889,4,0.87
Sharon Van Etten,0.870064722,5,0.87
Juice WRLD,0.8687575,5,0.87
Mclusky,0.867846111,4,0.87
Klô Pelgag,0.864629444,2,0.86
Sebadoh,0.863343333,6,0.86
Fitz and The Tantrums,0.861901667,3,0.86
Brand New,0.853772222,6,0.85
Lovesliescrushing,0.846733333,5,0.85
Soda Shop,0.8464325,4,0.85
Arlo Parks,0.844974722,3,0.84
Kitty Craft,0.844421667,2,0.84
Lil Durk,0.840593889,4,0.84
Ty Segall,0.834289444,5,0.83
Turnstile,0.834266111,2,0.83
Fox + Sui,0.832215278,3,0.83
Poppy,0.828777222,4,0.83
Oliver Francis,0.828127778,2,0.83
The Pains Of Being Pure At Heart,0.82651,3,0.83
Warship,0.820750278,4,0.82
TV On The Radio,0.817149444,2,0.82
Metric,0.809343889,6,0.81
Eartheater,0.8069725,2,0.81
Ho99o9,0.803055833,4,0.8
Carpenter Brut,0.799535833,3,0.8
Jay Som,0.797828611,2,0.8
Cindy Lee,0.795449167,2,0.8
Triptides,0.795254722,2,0.8
Lil Ugly Mane,0.794283056,3,0.79
Kelly Lee Owens,0.791208333,5,0.79
Françoise Hardy,0.789869444,2,0.79
Suicidal Tendencies,0.785612778,2,0.79
Bakar,0.783738611,2,0.78
Q Lazzarus,0.78295,3,0.78
draag me,0.779494444,2,0.78
Earl Sweatshirt,0.778687778,5,0.78
Blahsum,0.775126111,4,0.78
Pretty Sick,0.771308056,5,0.77
Angèle,0.768013333,2,0.77
